INFORMACIÓN GENERAL ESTACIONES;;;;;;;;;NORMAL CLIMATOLÓGICA ESTÁNDAR DE LA TEMPERATURA MEDIA PARA EL PERIODO 1991-2020 (°C);;;;;;;;;;;;;  Cumplen la directriz No 1203 del 2017 de la OMM ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CODIGO;CATEGORIA;NOMBRE;MUNICIPIO;DEPARTAMENTO;AO;ELEVACIÓN (m);LONGITUD;LATITUD;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ANUAL; Número de meses ;% de cumplimiento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48015050;SP;Aeropuerto Vasquez Cobo;Leticia;Amazonas;11;84;-69,94;-4,19;26,1;26,1;26,2;26,1;25,9;25,4;25,4;26,0;26,4;26,6;26,5;26,2;26,1;313;86,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23085030;CO;Alejandría;Alejandría;Antioquia;1;1712;-75,14;6,38;19,4;19,5;19,6;19,6;19,8;19,8;19,8;19,9;19,7;19,5;19,4;19,4;19,6;352;97,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11025010;CO;La Mansa ;Ciudad Bolívar;Antioquia;1;2018;-76,08;5,88;16,9;17,1;17,1;17,2;17,2;17,1;17,0;17,0;16,8;16,6;16,5;16,8;16,9;342;95,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11115040;CO;Musinga;Frontino;Antioquia;1;1396;-76,20;6,78;20,3;20,4;20,6;20,5;20,5;20,4;20,4;20,4;20,3;20,1;20,0;20,1;20,3;352;97,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26185020;CO;Mesopotamia;La Unión (Antioquia);Antioquia;1;2408;-75,32;5,89;14,6;14,8;15,0;15,1;15,2;15,1;14,9;15,0;14,9;14,6;14,5;14,6;14,9;360;100,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27015330;SP;Olaya Herrera - AUT ;Medellín;Antioquia;1;1490;-75,59;6,22;23,0;23,3;23,1;22,8;23,0;23,7;24,0;23,9;23,2;22,2;22,0;22,5;23,1;352;97,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23085110;CO;El Peñol;Peñol;Antioquia;1;1983;-75,24;6,21;17,8;18,0;18,1;18,3;18,7;19,0;19,0;19,0;18,5;18,0;17,8;17,8;18,3;340;94,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23175020;CO;Aeropuerto Otú;Remedios;Antioquia;1;643;-74,72;7,01;24,9;25,1;25,0;25,1;25,0;25,2;25,3;25,4;25,0;24,8;24,7;24,8;25,0;307;85,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23085270;SP;Aeropuerto Jose Maria Cordova - AUT ;Rionegro (Antioquia);Antioquia;1;2157;-75,43;6,17;16,8;17,1;17,2;17,3;17,5;17,5;17,4;17,4;17,2;16,7;16,6;16,7;17,1;355;98,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23085220;CP;San Carlos;San Carlos (Antioquia);Antioquia;1;1113;-75,04;6,16;22,2;22,5;22,5;22,8;23,1;23,4;23,3;23,2;22,9;22,4;22,0;22,1;22,7;339;94,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
